session_id,pattern,strength,target_step,expected_kind,fixture_path,control_session_id
001,ManualExtractMethod,loud,2,IDE_REPLAY,sessions/001/,042
002,ManualExtractMethod,loud,2,IDE_REPLAY,sessions/002/,042
003,ManualExtractMethod,loud,2,IDE_REPLAY,sessions/003/,043
004,ManualExtractMethod,borderline,2,IDE_REPLAY,sessions/004/,042
005,ManualExtractMethod,subthreshold,2,IDE_REPLAY,sessions/005/,042
006,ManualRenameMethod,loud,2,IDE_REPLAY,sessions/006/,043
007,ManualRenameMethod,loud,2,IDE_REPLAY,sessions/007/,043
008,ManualRenameMethod,borderline,2,IDE_REPLAY,sessions/008/,042
009,ManualRenameMethod,subthreshold,2,IDE_REPLAY,sessions/009/,042
010,ManualInlineMethod,loud,2,IDE_REPLAY,sessions/010/,043
011,ManualInlineMethod,loud,2,IDE_REPLAY,sessions/011/,043
012,ManualInlineMethod,borderline,2,IDE_REPLAY,sessions/012/,042
013,ManualInlineMethod,subthreshold,2,IDE_REPLAY,sessions/013/,042
014,ManualMoveMethod,loud,2,IDE_REPLAY,sessions/014/,044
015,ManualMoveMethod,loud,2,IDE_REPLAY,sessions/015/,044
016,ManualMoveMethod,borderline,2,IDE_REPLAY,sessions/016/,042
017,ManualMoveMethod,subthreshold,2,IDE_REPLAY,sessions/017/,042
018,ManualExtractVariable,loud,2,IDE_REPLAY,sessions/018/,043
